unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1618272000000,2021-04-13 00:00:00,BTC/USDT,59860.01000000,59942.39000000,59805.15000000,59921.76000000,271.09730700,16229796.80584649,7507
1618185600000,2021-04-12 00:00:00,BTC/USDT,59998.80000000,61300.00000000,59350.59000000,59860.00000000,56375.03711700,3393042867.87146672,1806298
1618099200000,2021-04-11 00:00:00,BTC/USDT,59769.13000000,60699.00000000,59232.52000000,60002.43000000,41156.71539100,2462032926.61798127,1746102
1618012800000,2021-04-10 00:00:00,BTC/USDT,58142.55000000,61500.00000000,57900.01000000,59769.13000000,69906.42411700,4197138552.46903365,2470398
1617926400000,2021-04-09 00:00:00,BTC/USDT,58077.52000000,58894.90000000,57654.00000000,58142.54000000,40831.88491100,2378340697.28958427,1615962
1617840000000,2021-04-08 00:00:00,BTC/USDT,55953.44000000,58153.31000000,55700.00000000,58077.52000000,44283.14701900,2531779682.55242696,1661080
1617753600000,2021-04-07 00:00:00,BTC/USDT,57990.03000000,58655.00000000,55473.00000000,55953.45000000,71228.40565900,4053294016.48451469,2206433
1617667200000,2021-04-06 00:00:00,BTC/USDT,59129.99000000,59495.24000000,57413.02000000,57991.15000000,54201.00072700,3166911557.14815778,1960513
1617580800000,2021-04-05 00:00:00,BTC/USDT,58202.01000000,59272.00000000,56777.77000000,59129.99000000,54258.01579000,3155214764.16448552,2035877
1617494400000,2021-04-04 00:00:00,BTC/USDT,57051.95000000,58492.85000000,56388.00000000,58202.01000000,41314.08197300,2380139010.73023250,1499113
1617408000000,2021-04-03 00:00:00,BTC/USDT,58950.01000000,59791.72000000,56880.00000000,57051.94000000,47409.85211300,2783151686.16453709,1606805
1617321600000,2021-04-02 00:00:00,BTC/USDT,58720.45000000,60200.00000000,58428.57000000,58950.01000000,47382.41878100,2811159761.26846735,1666356
1617235200000,2021-04-01 00:00:00,BTC/USDT,58739.46000000,59490.00000000,57935.45000000,58720.44000000,47415.61722000,2789238879.94337348,1594431
1617148800000,2021-03-31 00:00:00,BTC/USDT,58746.57000000,59800.00000000,56769.00000000,58740.55000000,60975.54266600,3575976083.80457570,1928224
1617062400000,2021-03-30 00:00:00,BTC/USDT,57635.46000000,59368.00000000,57071.35000000,58746.57000000,55122.44312200,3221944107.45503046,1612744
1616976000000,2021-03-29 00:00:00,BTC/USDT,55777.65000000,58405.82000000,54800.01000000,57635.47000000,67857.93739800,3877131109.73464578,1983437
1616889600000,2021-03-28 00:00:00,BTC/USDT,55817.14000000,56559.75000000,54691.84000000,55777.63000000,39050.38751100,2178777329.44521665,1551283
1616803200000,2021-03-27 00:00:00,BTC/USDT,55025.59000000,56700.36000000,53950.00000000,55817.14000000,50105.47505500,2767070175.86193082,1528776
1616716800000,2021-03-26 00:00:00,BTC/USDT,51293.78000000,55073.46000000,51214.60000000,55025.59000000,63813.77469200,3397036140.75163746,1773150
1616630400000,2021-03-25 00:00:00,BTC/USDT,52303.66000000,53287.00000000,50427.56000000,51293.78000000,87400.53453800,4536327184.95786042,2099425
1616544000000,2021-03-24 00:00:00,BTC/USDT,54342.80000000,57200.00000000,51700.00000000,52303.65000000,83537.46502100,4583159614.04646126,2401988
1616457600000,2021-03-23 00:00:00,BTC/USDT,54083.25000000,55830.90000000,53000.00000000,54340.89000000,59789.36542700,3264650774.81746144,1740349
1616371200000,2021-03-22 00:00:00,BTC/USDT,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62581.62616900,3527479514.32565286,1927345
1616284800000,2021-03-21 00:00:00,BTC/USDT,58100.02000000,58589.10000000,55450.11000000,57351.56000000,48564.47027400,2774223129.62380987,1773546
1616198400000,2021-03-20 00:00:00,BTC/USDT,58030.01000000,59880.00000000,57820.17000000,58102.28000000,44476.94177600,2616535093.05158531,1724131
1616112000000,2021-03-19 00:00:00,BTC/USDT,57641.00000000,59468.00000000,56270.74000000,58030.01000000,52392.65296100,3052711147.93492521,1885830
1616025600000,2021-03-18 00:00:00,BTC/USDT,58912.97000000,60129.97000000,57023.00000000,57648.16000000,66580.40667500,3900885761.21280599,2040947
1615939200000,2021-03-17 00:00:00,BTC/USDT,56900.74000000,58974.73000000,54123.69000000,58912.97000000,70421.62084100,3960992972.15429223,2204296
1615852800000,2021-03-16 00:00:00,BTC/USDT,55605.20000000,56938.29000000,53271.34000000,56900.75000000,77986.69435500,4304259207.64509981,2241208
1615766400000,2021-03-15 00:00:00,BTC/USDT,58976.08000000,60633.43000000,54600.00000000,55605.20000000,102771.42729800,5874241052.09337221,2683815
